 S041  38.0500   23.8600
 S129  38.0890   24.3620
 N027  39.4883   22.9573
 N111  39.8518   21.2265
 N025  40.0027   22.4477
 N018  40.0417   21.9383
 N013  39.9462   21.4035
 N012  39.9467   21.2458
 N009  39.7883   20.8775
 N008  39.7318   20.7507
 N010  39.8647   20.9678
 N007  39.7080   20.6675
 N006  39.6778   20.6118
 N005  39.6387   20.5693
 N016  40.1297   21.7403
 N011  39.9378   21.0497
 N004  39.6125   20.4862
 N001  39.4692   20.3118
 N003  39.5770   20.4252
 N002  39.5405   20.3583
 N019  40.2048   22.2378
 N014  40.1288   21.3542
 N024  40.2315   22.4632
 N015  40.2843   21.4865
 N028  40.4005   22.5178
 N021  40.3798   21.6915
 N023  40.4582   22.2388
 N036  40.5942   23.3662
 N033  40.7442   22.8772
 N030  40.8208   22.0947
 MIL   36.7083   24.5322
 N029  40.8653   22.3515
 N031  40.8867   22.5255
 N037  40.8207   23.3557
 N040  40.8945   23.5512
 N038  41.0792   23.2187
 N034  41.1668   22.9005
 N039  41.1087   23.5847
 PRK   39.2460   26.2720
 GUR   37.9363   22.3423
 CAM   37.8782   27.3875
 EFP   38.4268   21.9058
 N017  39.9487   21.6772
 LAKA  38.2402   21.9785
 PYL   36.8955   21.7420
 TRIZ  38.3655   22.0727
 VLY   37.8523   23.7942
 KALE  38.3912   22.1398
 CHOS  38.3868   26.0507
 DSF   38.4112   22.5272
 ATHU  37.9665   23.7845
 ATAL  38.6927   23.0213
 SIGR  39.2113   25.8553
 UPR   38.2837   21.7863
 KAVA  40.9942   24.5118
 N020  40.3498   21.9605
 N022  40.5563   22.0627
 CUC   39.9938   15.8155
 CEL   38.2603   15.8938
 LKD2  38.7888   20.6578
 NEST  40.4147   21.0488
 N026  39.7282   22.6698
 DSL   39.1338   21.0963
 N211  39.8490   21.2232
 VIL1  38.1650   23.3268
 N136  40.5828   23.2097
 RGA   39.3212   20.3543
 MAKR  39.0132   22.1317
 MRKA  38.7058   23.5875
 ERET  38.4423   23.8063
 MRMA  38.0573   24.3792
 AMT   37.5323   21.7088
 DESF  38.4127   22.5322
 AXAR  38.7663   22.6590
 DIDY  37.4765   23.2118
 SKIA  39.1665   23.4662
 PSA1  38.3253   21.8837
 DYR   36.7622   22.3337
 KLV   38.0437   22.1503
 SFD   37.2512   21.0165
 DRO   37.9522   21.7112
 PDO   38.5987   21.1833
 SMIA  38.8792   23.2090
 FYTO  39.4087   22.9397
 ANKY  35.8670   23.3012
 PVO   38.6167   21.5258
 VTN   37.9167   21.1857
 KNS   40.0597   20.7592
 MHLO  36.6898   24.4017
 VAM   35.4070   24.1997
 ZKS   37.6968   20.7852
